age,education_level,years_experience,job_level,gender,industry,city,hours_per_week,remote_ratio,salary
53,4,16,3,0,4,1,39,50,70294.38515898028
29,1,20,4,1,4,4,54,100,75866.92877046084
55,5,31,3,0,4,3,32,100,94912.93959949567
33,3,2,2,0,4,4,59,0,129625.49757465982
50,1,14,4,1,0,1,58,100,64701.31638318353
34,4,7,2,1,3,3,49,50,48142.173636227366
27,3,31,1,2,0,2,33,50,83408.11074301654
33,1,37,5,2,3,0,43,0,110478.42242321612
42,3,25,1,1,3,3,42,50,71292.32998170289
59,1,29,2,1,0,1,49,0,81869.58159743944
40,1,8,3,1,0,4,36,50,51303.166060884425
35,4,31,5,0,0,3,50,50,104426.48642726713
37,5,10,3,0,3,5,36,50,66189.33976610443
43,4,21,3,0,0,3,35,0,83034.87774065709
45,1,33,5,1,1,0,52,0,101673.39425205854
44,3,17,5,2,2,4,37,50,79170.86043433817
48,4,18,1,2,2,4,35,50,65048.3745894217
34,5,17,2,0,1,3,54,50,70887.63649931665
20,1,36,3,0,2,1,33,100,100891.1872712126
44,4,17,2,1,3,0,57,100,73028.87928673765
26,4,11,2,1,0,0,34,50,60912.46384767432
28,4,3,4,2,0,3,54,100,56333.255218506456
43,4,26,1,2,0,2,54,50,77317.7065969973
20,3,4,3,1,1,3,47,100,49634.9044074039
27,5,5,5,2,1,0,31,100,65785.17675678722
43,5,12,5,2,3,4,54,50,80298.30004626949
30,1,22,2,0,1,3,51,0,71757.19048796888
36,2,24,1,1,0,3,53,100,71096.9059091189
27,3,3,1,1,3,4,43,0,39522.007694253465
54,1,31,3,1,3,3,53,100,85055.72870148311
54,1,14,3,0,0,1,53,0,62782.536141746765
52,4,25,2,1,4,4,43,0,78388.49882231605
24,2,10,2,2,0,4,34,50,52211.88867847155
58,2,8,2,0,3,4,40,0,52242.60173548572
47,3,10,4,0,4,0,56,100,70794.95603064037
26,2,1,1,1,0,3,55,50,35292.859318653616
28,1,26,2,2,0,2,49,50,76401.56611206413
27,2,25,1,1,4,3,32,50,69426.74999592015
31,2,7,5,2,4,3,45,0,62821.71496706514
53,5,20,5,1,2,0,49,0,89773.15788020738
52,1,20,1,2,4,1,37,100,56900.36437705813
42,2,7,5,2,1,1,49,100,62426.02106898629
43,2,0,5,2,4,0,44,100,55146.005291743146
56,4,37,5,0,3,0,43,100,116869.70583528026
54,2,12,3,1,4,0,43,100,62831.49288406
59,2,8,3,1,0,3,37,50,54568.36011285639
41,5,27,1,1,1,0,53,0,78009.65795562045
46,1,5,1,0,4,2,59,50,39005.489465700965
54,3,22,4,2,1,4,30,0,83625.10547423705
20,1,35,3,0,2,1,45,50,92901.67885836508
54,4,16,1,0,1,2,56,0,63575.3714025853
56,1,8,3,2,0,1,56,100,51344.199031219185
33,2,11,4,1,2,3,57,50,64106.05283464043
22,4,21,1,0,4,3,41,100,68769.40976073981
20,1,11,1,2,1,0,43,50,52886.18837186005
24,4,5,1,2,2,1,38,50,47300.48288827033
45,3,8,1,1,4,3,43,50,48905.88432619136
33,1,36,2,2,4,3,42,100,92562.94045512791
58,2,2,3,2,1,1,48,100,47455.153748761964
46,4,33,3,2,1,3,51,50,98034.39220731275
28,5,7,3,1,2,0,59,50,60083.89077494133
34,4,9,4,1,1,3,45,50,68926.89661838805
34,5,8,2,2,4,2,48,50,57295.06184022185
32,3,36,3,2,2,0,46,0,101933.41587470559
51,5,26,1,1,0,2,52,0,78601.1063745323
58,3,31,1,1,0,3,34,50,82437.28929787688
51,4,3,1,0,4,2,57,50,42091.20847071232
23,2,1,3,1,0,2,32,0,48700.80388738028
49,5,32,1,2,3,3,57,0,87761.61813186928
56,4,20,3,1,2,1,56,50,78478.52078328168
42,1,0,4,2,4,0,52,50,41749.255617270144
58,4,10,4,2,1,1,30,0,67767.89457789325
34,3,0,5,2,4,1,51,100,56352.7435119208
48,2,10,2,1,1,2,36,50,56890.843994380564
55,2,6,1,1,4,4,54,0,44311.915180385244
32,4,1,1,1,3,1,54,100,39382.196903200886
51,1,14,2,1,2,3,36,0,57613.33072596282
26,3,7,2,1,0,3,50,50,46771.4557768557
41,4,25,5,0,4,3,52,0,94203.06157862912
47,4,39,2,1,2,4,56,50,101657.39027283118
21,2,34,3,0,2,4,46,100,90857.17092932123
25,3,20,1,2,2,0,59,100,66668.91206012027
47,1,37,2,2,2,4,36,50,95089.58742709023
47,2,7,3,2,2,0,42,50,57208.98463858981
39,4,31,2,2,0,3,57,50,87999.22420608705
49,2,7,3,0,0,4,58,100,57644.39918290179
30,2,9,4,0,4,2,42,0,62212.266157498256
47,5,22,3,2,1,2,39,50,81131.11002772463
44,2,3,5,1,4,2,49,100,57656.70636026571
58,2,37,3,2,2,4,31,100,99592.62039422475
52,3,29,2,2,1,4,35,0,80063.23010350934
20,2,22,4,0,4,4,36,50,84086.28940904072
46,1,4,4,2,1,2,56,0,49171.35884711489
32,4,20,3,0,0,3,42,50,77580.60979233649
22,3,5,2,2,2,1,58,50,50575.68288565761
58,2,16,4,2,1,3,52,50,72957.27054135311
25,1,24,3,1,3,4,37,0,79032.80892977558
27,4,23,3,0,2,1,50,100,85061.89557952169
46,3,21,3,0,0,1,42,100,79142.75755917087
28,1,12,4,0,0,3,55,100,65525.89923980075
56,2,16,1,2,4,2,40,100,63534.459019987335
52,5,13,2,2,3,0,39,50,61644.08751679885
43,5,33,5,0,1,2,58,0,110317.32689422551
34,3,25,5,1,4,2,56,50,94655.72705118838
51,1,18,2,2,0,1,53,50,60437.1420402914
51,4,25,1,1,1,4,33,0,74275.30848205893
43,1,2,2,1,0,4,39,50,37904.902372689365
31,5,1,3,2,0,1,46,0,51598.40009587013
58,3,27,2,0,3,2,57,50,80726.6685315551
21,2,1,2,1,2,3,37,100,44424.89151192709
22,1,21,4,0,1,0,49,50,80720.30283430775
56,5,6,5,1,3,2,34,50,69609.1930520339
36,4,3,5,0,0,2,58,50,62411.9792224859
21,3,37,3,2,0,0,49,50,97034.40771861598
21,2,38,3,1,3,3,44,50,97552.13238739836
47,1,19,4,1,1,0,52,0,76373.48355224417
42,4,5,3,1,0,1,39,100,55911.53693721611
56,2,8,1,0,1,0,48,100,42466.261201145244
51,5,30,4,1,3,0,47,0,101236.29051958567
52,5,25,4,1,0,2,55,0,91668.84009282252
20,4,35,2,0,4,2,41,50,93281.27149045753
38,5,25,2,0,4,4,31,50,82970.86180239737
21,3,27,1,2,0,0,36,50,77637.80189547417
45,4,4,4,0,2,1,40,0,57654.889913997264
51,5,9,4,1,0,4,44,50,69771.81377415475
25,1,17,2,1,0,0,41,0,60966.067584885524
51,5,14,5,2,0,2,39,50,79931.79208156232
23,3,32,5,2,3,1,42,0,99009.05260869247
30,2,4,2,1,0,3,51,100,45672.97200584829
36,2,36,3,0,0,4,31,0,94694.46807050012
57,5,39,4,1,3,2,53,50,111519.7024563188
43,2,21,1,2,0,3,59,0,64474.99483586587
24,5,21,5,1,4,0,44,50,93701.2651561659
53,3,21,3,1,4,1,51,50,76385.61762747157
25,2,14,4,1,0,2,37,50,72341.44789652702
41,1,16,3,2,3,2,35,50,62979.58080254779
30,5,27,4,2,0,1,33,50,96475.47300923125
35,2,21,4,2,0,2,37,100,82197.63752582957
52,3,20,2,0,1,2,49,100,70834.99017075264
28,3,16,2,2,2,0,51,50,67142.17376292087
25,1,4,1,0,3,4,34,0,37331.243131294
35,3,17,1,0,2,3,49,0,61638.47678471848
48,3,16,3,2,1,1,52,100,64489.267154871246
22,2,3,2,0,2,3,37,100,42489.138230731194
39,5,6,4,0,0,1,43,50,61741.1480199401
55,4,24,2,1,4,1,51,0,80864.7059316654
38,3,36,4,0,3,2,46,0,106652.31808317867
45,3,39,2,0,3,0,52,50,101858.07556559578
22,4,39,4,2,0,1,49,0,106800.96710784144
38,3,8,3,1,2,3,31,100,58366.995678024476
39,2,18,2,0,3,4,48,50,66666.31225565991
51,2,8,5,0,1,3,55,0,62241.10463772026
26,4,22,5,0,1,0,33,0,88094.33290421886
52,3,30,4,2,2,4,43,100,100303.71354594409
59,3,31,3,2,1,2,36,50,94008.8095432446
58,5,30,4,1,4,3,54,100,99287.39490403996
37,3,16,3,0,0,3,45,0,72197.36072729407
59,2,38,1,1,3,1,39,50,88577.73950165515
20,1,21,2,2,0,1,40,100,69027.12327487757
30,1,34,3,0,2,4,51,100,94453.1382071833
47,1,29,4,2,0,2,55,50,87666.57464288865
44,1,39,1,1,3,1,34,0,88626.66845830911
42,3,36,4,0,3,3,54,50,104933.1010364687
50,3,25,5,2,2,4,41,100,95853.955660752
49,5,5,5,1,3,1,53,100,70794.1850820279
54,3,33,2,1,1,1,53,50,93693.89372872465
26,1,31,2,0,0,0,53,50,85016.83215529055
35,4,24,1,2,4,4,44,50,74118.8695188517
45,4,12,5,0,4,4,53,50,81674.89168809485
21,2,37,3,1,4,2,53,100,99990.39747865812
20,2,37,5,1,2,1,39,50,110671.64382757341
31,3,1,2,2,4,4,55,50,44878.14556834342
24,4,4,4,1,0,2,52,100,57168.02359823205
56,1,10,1,2,3,1,31,100,49044.85863490075
51,1,10,5,0,1,3,47,100,65287.23467605769
28,1,23,3,2,4,0,40,50,78443.56133395327
54,3,13,3,0,4,2,34,50,67646.87091192092
38,3,29,3,0,4,0,35,0,90813.9584818568
35,5,39,1,1,1,3,42,50,98961.50810741847
22,1,34,3,0,0,4,54,0,95946.58784134823
39,1,20,3,1,4,1,46,50,69030.09695261988
43,3,4,5,2,3,4,56,100,60999.021306662115
52,3,37,1,2,2,0,45,0,89787.40424944437
43,5,1,4,0,1,4,52,0,56155.4866092882
30,5,39,4,2,0,4,52,100,113222.38778379763
27,2,36,3,0,3,2,53,0,97647.15310152051
55,4,33,2,2,1,2,58,50,97572.96906181506
57,1,10,1,0,1,3,30,0,45966.47324957675
59,1,35,2,0,2,2,57,100,89225.18104069437
39,5,10,1,2,2,2,42,50,58874.320651590795
54,5,8,1,2,0,2,39,0,53740.84072713334
44,2,5,5,2,4,2,42,50,62291.97386153869
54,4,33,3,2,2,3,49,0,100459.76386654266
44,2,36,5,0,0,2,55,100,106021.40968577962
48,4,31,2,0,1,2,50,0,91936.57289655514
37,1,11,2,2,4,0,47,100,56329.47422348261
37,2,31,4,2,3,2,47,50,98704.9471743087
21,5,16,5,1,1,3,56,50,85183.24514819762
54,2,3,5,0,0,3,33,50,57692.059957212885
35,2,32,5,0,3,4,32,0,104385.85934594872
55,1,8,4,2,1,2,45,100,56527.81645234419
52,5,33,5,1,2,1,58,0,111021.35038892624
23,5,38,5,2,0,4,36,100,117976.60798236866
52,3,29,5,0,3,3,59,100,100157.26111005788
33,3,19,5,0,2,4,36,50,84390.37489578727
40,3,38,2,1,3,1,31,100,101217.32143141163
39,1,22,3,2,4,0,45,0,76159.94185149984
27,2,34,2,1,4,1,34,50,91843.10992083639
26,5,22,5,2,0,4,50,100,93220.7646142629
22,5,38,1,1,3,2,59,0,99349.46852179187
36,2,22,1,2,4,0,37,0,66333.73829167837
52,5,36,4,2,1,1,37,50,106709.33445017348
31,2,22,2,2,1,2,40,100,71003.19010114767
41,1,38,4,0,4,1,58,100,102807.52325581457
41,1,27,4,2,4,3,49,50,82969.35187816166
49,1,18,1,0,0,2,39,50,59031.78857630829
57,2,29,2,1,0,3,30,50,79796.93134964984
57,2,20,3,2,1,0,35,50,73445.94454262528
27,4,23,2,0,2,0,57,0,77590.47967748003
46,5,20,4,1,3,0,36,50,83673.62234499962
46,5,25,5,2,2,0,46,100,97826.73267162137
53,4,35,4,1,0,3,53,100,105151.01485852334
40,4,25,2,0,2,3,45,100,78486.76719537129
49,1,32,1,0,0,4,43,0,78569.05522596021
52,4,35,2,2,2,4,54,100,96846.60127076019
47,2,3,3,0,1,3,53,0,49426.024554986
52,3,8,5,0,0,0,32,100,72981.04595430706
24,2,7,5,1,1,4,38,50,63094.92503227496
38,4,1,4,2,2,2,39,0,54071.44162072531
23,5,28,2,2,4,3,32,0,85571.10471358312
54,2,22,1,2,4,2,41,0,64892.35458679405
36,5,5,3,1,3,0,33,100,56040.296644418115
47,2,35,4,0,4,3,41,50,99778.81108885165
49,5,20,2,2,3,4,51,100,75352.72404595805
48,2,21,1,2,2,4,52,0,64257.184863800765
25,5,8,2,1,3,2,42,50,56005.617851144314
54,3,33,1,1,3,3,53,0,84242.90237782501
56,1,25,2,2,3,0,36,0,73211.72942711103
43,2,0,2,2,1,1,48,100,38566.54392054877
48,3,35,4,1,3,1,56,100,108148.51747789653
50,1,4,2,1,0,0,56,50,43832.66770758658
54,2,21,2,1,2,4,47,100,71780.34072816659
52,3,3,4,1,1,1,56,100,51592.98655311892
40,3,1,4,0,5,0,47,100,52476.74671686324
51,3,15,5,0,2,2,59,0,77063.05451026392
42,4,15,5,2,1,4,57,0,81172.06510412604
52,5,21,4,0,2,0,58,100,88351.97390103496
22,1,0,3,1,4,2,38,0,42151.23487451468
37,5,14,1,2,2,3,36,100,60704.48844176169
44,5,23,4,1,4,1,36,50,89316.34717873367
50,5,3,5,0,4,1,50,100,63929.90266802448
22,3,17,2,1,2,1,42,50,62291.62371594731
59,5,16,4,2,4,0,35,100,78506.86634921104
43,4,6,4,0,1,3,36,50,59960.878383699004
51,2,9,5,2,4,0,42,0,62789.407070553694
41,3,0,5,0,3,0,54,100,56420.61640170564
42,1,1,3,1,1,3,55,50,40265.21009887093
21,2,21,5,2,1,2,49,50,85697.7232847449
46,2,31,5,0,1,4,35,0,99028.75441525131
21,2,28,5,0,3,1,46,50,93362.41242756938
45,5,34,2,0,3,3,52,100,97451.95481607274
36,5,16,4,0,3,2,49,50,80152.01572120648
59,3,11,4,1,3,3,47,50,68505.98220761752
52,5,23,5,1,3,4,49,50,93524.08262966208
28,5,29,3,0,0,3,37,0,91370.30913689942
58,5,29,5,1,0,3,47,0,102298.6527127885
48,3,19,3,1,3,2,44,0,74168.10775320399
45,3,6,4,0,1,1,30,50,57229.95328046374
54,4,37,3,1,4,1,30,0,104288.26541221031
44,4,6,3,2,4,2,36,0,59977.70315026505
43,4,29,1,2,0,2,45,100,80764.24901093951
32,4,11,3,1,3,0,52,50,64446.03339898434
26,2,30,3,0,2,0,49,0,92738.8830756572
55,2,17,2,2,4,4,43,100,65860.27560433527
39,4,1,4,1,4,0,57,100,55044.720919774205
20,4,32,5,1,1,0,50,50,104833.1242653804
27,1,10,1,0,4,3,58,50,49041.06331489248
35,2,33,3,0,0,3,41,100,93630.4513286112
33,1,15,2,1,3,2,34,50,60024.605505822954
31,1,34,2,0,3,1,36,100,82724.80296079113
42,5,32,5,2,4,4,41,0,110089.14809283517
34,3,20,5,2,2,0,48,50,86294.96129870025
47,2,19,4,1,0,3,34,0,76211.19217132541
53,4,7,3,1,4,1,36,50,60256.27538673592
21,4,25,2,0,0,0,57,100,81277.43811484818
51,3,32,1,2,2,1,56,0,85896.41384839901
42,2,25,4,0,0,3,36,100,85047.39990185572
41,4,36,3,1,0,2,42,100,100930.71967536934
44,4,29,5,1,0,0,54,100,100622.09466160333
41,5,30,3,1,3,0,49,50,93295.06511656404
41,1,32,5,1,2,4,46,50,99439.20994983427
25,4,10,3,1,3,5,59,100,64510.55182209348
34,2,4,1,1,1,3,34,100,38460.47911554665
56,3,1,4,0,4,1,43,50,53136.920694902816
52,5,12,5,0,3,1,40,0,73815.67978234962
27,2,17,1,0,0,2,49,50,60336.18372567376
24,5,25,2,2,1,2,48,50,83341.88209803546
58,1,24,1,2,2,3,52,50,67040.22272137956
23,4,13,1,1,2,1,54,0,56352.945121844255
25,2,4,1,0,3,2,33,50,41868.28694317912
51,3,1,5,0,0,2,51,50,55247.8691355366
49,1,3,2,2,0,4,46,0,44769.22043945461
54,1,11,4,1,2,4,46,50,63322.011267267524
59,5,10,1,2,0,3,32,100,53877.3838832185
35,1,3,5,2,4,3,43,0,53060.22578674556
32,2,8,5,2,3,3,50,50,67298.46508328189
49,5,9,4,0,3,3,35,100,68661.82147663838
38,1,26,3,1,0,1,54,100,82251.49792614425
36,3,5,2,1,2,0,54,0,51272.48664447654
38,2,14,2,2,4,3,39,0,58483.753280932026
47,3,30,1,1,4,4,56,50,80151.70844602655
45,3,21,3,1,4,0,46,0,75522.0126682995
56,5,5,2,2,1,0,59,50,51012.23365246446
42,5,28,3,2,4,2,56,100,93609.59722082394
28,2,20,5,2,0,0,41,50,84228.78401587416
31,2,29,1,0,2,1,53,0,78614.89179748822
20,5,20,3,0,2,1,50,50,83579.69100413217
20,4,35,4,0,2,1,45,50,104727.32630282268
53,5,21,2,0,1,3,45,0,78174.6628588808
51,2,19,1,2,2,2,32,50,63759.9975029095
44,4,21,5,0,0,3,54,0,87959.7012635794
59,2,39,1,1,3,4,47,0,92274.76367651856
20,4,10,2,2,3,2,36,100,56689.27986637709
35,4,30,2,2,0,3,39,100,91022.87846008116
58,5,39,3,0,3,2,37,0,106226.69060032573
24,5,12,5,0,4,4,57,0,73824.87297115735
41,5,17,3,1,3,3,47,0,72363.77275427448
48,4,21,5,0,1,2,46,0,88383.44788657717
22,4,16,1,2,2,4,32,50,62552.66418771801
31,2,37,1,0,3,1,37,0,86531.65594823667
45,3,24,3,1,3,2,49,100,82494.94355166715
35,5,31,4,2,1,4,58,0,102225.54805356408
56,2,14,2,2,5,1,34,100,59240.81556912335
41,2,12,3,0,3,4,54,0,61659.48530137731
48,1,25,3,1,4,0,49,50,80514.16962898258
33,5,10,1,1,3,4,41,50,55552.545172283455
47,2,12,2,0,4,3,54,0,57257.16778834895
24,1,32,3,2,2,3,35,100,86044.13930171209
49,5,36,1,2,0,3,57,50,92786.06579920479
24,4,37,1,2,2,3,52,100,91197.2274579526
31,1,0,3,0,3,0,53,100,43221.43034364357
35,4,38,3,2,3,0,39,50,104060.9278348663
45,3,26,1,2,4,0,39,0,77903.67137656288
45,3,35,3,0,1,1,30,100,100904.08064722335
40,3,31,2,2,4,2,38,100,90186.55325236557
58,3,14,1,0,1,3,47,0,56255.3730808108
55,2,30,1,1,1,2,32,0,77718.98482565473
52,3,5,3,1,1,3,30,50,52783.18391741417
49,2,24,3,0,1,3,39,50,81893.47731975238
56,2,17,3,0,3,3,56,0,71848.36407886959
42,5,21,2,0,0,0,32,0,75975.66917955804
29,2,30,1,2,0,1,59,100,81267.34913041869
24,2,35,4,2,2,3,47,0,101026.63086424163
55,3,8,2,0,2,3,36,100,53396.150946872745
53,2,2,2,0,2,3,36,50,41107.30930853595
50,4,32,1,2,4,4,51,50,90004.45824722074
29,3,26,4,2,2,3,39,100,93742.53564896788
38,1,0,1,0,2,0,57,50,33577.91702465007
51,3,8,2,2,2,0,56,100,52517.58476371364
20,2,4,3,2,3,2,42,100,46573.0149441239
24,4,14,1,1,2,0,33,100,59130.10471317681
23,3,8,1,0,0,2,41,0,49157.489376272366
35,4,27,3,0,5,1,32,50,85666.22964791366
43,1,12,4,2,1,4,52,50,68501.21459136641
35,1,23,4,1,4,0,45,100,84328.94022820347
21,5,9,1,0,3,3,40,0,51686.53678977779
47,5,21,3,0,3,1,32,50,81791.34303399625
51,3,38,1,2,0,3,54,0,93449.03652469763
46,5,21,3,0,2,2,55,50,81419.0952320106
39,4,36,2,2,1,2,37,100,97518.24976337583
43,5,38,3,1,0,4,36,50,105741.92520476413
31,4,19,1,1,0,1,43,0,66258.82697286092
54,5,9,5,0,3,2,31,100,73817.67766088394
52,5,9,4,2,1,3,39,0,67257.04506281106
52,5,25,1,1,0,0,32,50,78955.6819715426
56,2,24,3,0,5,0,53,50,80044.65357451435
31,2,27,3,0,4,1,57,100,83507.66205751839
22,5,12,4,0,0,1,40,100,71191.89492983969
20,4,14,1,2,3,2,48,0,60258.11053354786
52,3,5,5,2,4,0,37,100,63687.53971832153
59,1,11,2,1,3,5,49,0,51992.99973699771
29,2,18,5,2,2,4,34,100,80371.39786878804
48,5,31,2,2,2,4,59,50,90798.53107142421
32,1,10,2,0,3,4,38,0,53690.16133766365
31,2,37,1,0,0,2,42,50,92567.36882100113
50,3,32,2,1,2,3,40,50,88707.55213596979
21,4,1,3,0,2,4,55,0,50240.24912210631
54,5,14,2,0,4,2,31,100,67255.46740650668
42,3,35,2,0,0,4,41,0,91197.61212398027
36,2,4,4,2,3,4,32,50,55101.95472007979
45,5,14,4,0,2,3,44,50,76899.83762577068
27,1,9,1,1,0,4,57,50,46540.93182499401
48,4,16,1,1,2,2,57,50,61477.12835954457
45,2,33,3,0,4,2,30,0,90898.88869566501
29,4,23,4,0,0,0,53,0,88499.58345882961
45,5,9,5,1,1,1,57,0,73978.30415261992
53,3,29,1,2,4,4,40,0,81163.34293763273
26,4,2,1,0,3,4,54,50,36816.934270062164
23,1,36,4,1,0,2,39,100,101066.14090147316
30,2,2,4,2,2,4,54,0,51346.49022720786
48,1,39,3,1,0,2,32,50,99523.91766843127
55,4,4,4,2,3,0,43,0,56551.9967293918
44,3,27,2,1,0,4,50,50,79541.81537469791
40,3,13,5,1,2,0,45,100,75776.46494669482
55,1,38,2,2,4,0,38,100,92521.45959662396
29,5,10,2,0,4,1,43,0,58054.720868681885
56,5,7,2,1,2,2,50,100,55377.3112163523
28,3,36,1,0,1,0,30,50,88365.43001029931
43,1,7,2,1,1,2,30,50,47359.67158661522
54,1,11,1,2,4,1,33,0,48289.87735231713
54,1,14,4,0,3,2,52,100,68376.36399886369
55,4,18,5,2,0,1,52,100,83124.10804166629
37,5,27,5,2,2,4,52,50,102195.45717319271
58,5,6,2,0,3,1,58,50,55502.21367326005
51,4,39,5,0,0,1,51,50,116411.63169447397
43,2,6,1,0,4,1,58,50,43649.783806649786
42,4,29,4,2,2,3,30,100,97366.02005479552
51,1,17,2,2,3,0,56,0,63615.17232284976
56,4,23,3,2,5,2,48,100,83500.4671994556
31,1,5,5,0,4,2,50,100,60417.26875092314
32,3,3,5,2,4,3,41,50,61060.81426823067
42,1,2,2,0,0,4,49,50,40750.09218989162
44,5,5,5,1,1,0,56,50,63200.44320016995
54,4,25,5,2,1,0,33,0,93228.77924621875
49,1,37,3,1,0,5,38,0,98600.37909547097
36,2,10,1,0,0,0,36,50,46863.94440904014
39,3,28,2,0,0,3,54,50,83018.54202532524
44,2,19,2,0,4,2,58,100,65864.10893440054
41,2,9,3,1,2,4,43,100,57953.88084556678
32,2,25,3,0,4,4,52,100,75119.39455571435
38,3,26,1,1,4,4,55,50,75557.81623325268
55,3,13,4,2,1,3,32,100,70196.82193633384
31,3,35,2,1,0,3,44,0,91559.87087941365
38,3,11,5,2,4,1,40,100,74292.96944697772
31,2,22,1,1,4,3,39,0,70365.94060736775
28,5,20,2,2,0,0,49,100,70707.24998093658
26,5,7,1,0,2,2,44,0,49166.517231310085
47,3,38,4,1,1,4,54,50,104960.58890820247
33,4,8,2,2,3,3,46,0,51459.51549683836
50,1,23,5,0,4,2,48,100,86689.5170109879
38,4,30,2,0,2,0,40,50,85843.91769460688
35,4,24,1,2,3,3,49,50,71842.78413207762
24,4,16,4,2,0,3,45,50,75473.47908345514
54,5,28,1,1,3,2,33,0,81850.19934810337
31,1,2,1,2,0,0,36,50,37215.192145721216
44,4,20,3,2,2,3,40,100,78641.95526832981
40,3,7,1,0,3,2,49,50,47093.245966112394
55,5,13,4,2,1,0,55,100,72814.35343810433
42,3,38,5,2,2,3,53,50,114757.13290494346
35,3,15,3,2,3,3,46,0,70633.43068916404
58,4,17,1,0,4,4,48,50,65246.7394849322
58,3,30,2,0,3,1,55,100,84475.37717242187
33,1,10,3,0,3,0,39,100,58586.23162305566
50,3,37,4,0,1,2,44,50,108924.05810243516
24,4,19,2,1,2,4,35,0,73145.12246110405
54,3,3,4,0,4,3,42,50,55137.14738989227
42,5,19,2,0,2,2,32,0,71816.761470381
48,5,30,5,1,2,4,37,100,105369.82049660063
30,5,19,4,1,4,4,36,100,82476.25405272537
37,2,10,2,1,4,1,34,50,48063.09861408155
31,5,0,4,2,1,4,47,0,53698.311731543195
28,5,17,3,0,0,0,56,100,76017.79474976039
29,2,38,4,2,1,1,50,0,106868.83439768736
36,5,32,4,1,4,1,45,50,106070.90420312759
57,4,35,2,1,3,3,38,0,98228.01679650875
26,5,17,4,1,3,3,40,0,81446.03040278291
32,5,30,5,1,2,0,50,100,103371.90071184344
59,2,34,1,2,2,2,57,0,85212.1193686094
28,4,38,3,1,0,0,48,0,104137.66649147077
46,3,37,2,0,0,1,43,100,92206.71851940519
21,1,14,4,0,0,3,36,100,73335.02002073574
24,4,5,4,0,0,0,41,50,58279.986908139086
48,3,7,4,2,3,3,48,100,57788.90438039428
56,4,39,3,1,4,0,37,0,102733.28651942409
57,3,21,1,2,0,0,50,50,67069.80660705673
38,3,0,5,0,1,4,34,100,57994.054081516886
